,company_name,Type,Rating(K),Employees,Extra_Info
0,TCS,IT Services & Consulting,3.8,1 Lakh+ Employees,55 years old
1,Accenture,IT Services & Consulting,4.1,1 Lakh+ Employees,34 years old
2,Cognizant,IT Services & Consulting,3.9,1 Lakh+ Employees,29 years old
3,Wipro,IT Services & Consulting,3.8,1 Lakh+ Employees,78 years old
4,ICICI Bank,Banking,4.0,1 Lakh+ Employees,29 years old
5,HDFC Bank,Banking,3.9,1 Lakh+ Employees,29 years old
6,Infosys,IT Services & Consulting,3.9,1 Lakh+ Employees,42 years old
7,Capgemini,IT Services & Consulting,3.9,1 Lakh+ Employees,56 years old
8,Tech Mahindra,IT Services & Consulting,3.7,1 Lakh+ Employees,37 years old
9,HCLTech,IT Services & Consulting,3.7,1 Lakh+ Employees,32 years old
10,Genpact,IT Services & Consulting,4.0,50k-1 Lakh Employees,26 years old
11,Axis Bank,Banking,3.8,50k-1 Lakh Employees,30 years old
12,Concentrix Corporation,BPO,3.9,50k-1 Lakh Employees,40 years old
13,Amazon,Internet,4.2,1 Lakh+ Employees,29 years old
14,IBM,Software Product,4.1,50k-1 Lakh Employees,112 years old
15,Reliance Jio,Telecom,3.9,50k-1 Lakh Employees,16 years old
16,Larsen & Toubro Limited,Engineering & Construction,4.0,1 Lakh+ Employees,85 years old
17,HDB Financial Services,NBFC,4.0,10k-50k Employees,Ahmedabad +887 more
18,Reliance Retail,Retail,3.9,1 Lakh+ Employees,Navi Mumbai +896 more
19,Teleperformance,BPO,3.6,10k-50k Employees,45 years old
20,Vodafone Idea,10k-50k Employees,4.2,Public,Mumbai +604 more
21,Deloitte,Management Consulting,4.0,1 Lakh+ Employees,London +143 more
22,BYJU'S,EdTech,3.2,1k-5k Employees,12 years old
23,Kotak Mahindra Bank,Banking,3.8,10k-50k Employees,20 years old
24,Reliance Industries,Oil & Gas,4.0,Public,Navi Mumbai +583 more
25,Bharti Airtel,Telecom,4.0,10k-50k Employees,28 years old
26,Tata Motors,Automobile,4.2,10k-50k Employees,78 years old
27,Flipkart,Internet,4.1,10k-50k Employees,16 years old
28,Ernst & Young,Accounting & Auditing,3.7,10k-50k Employees,London +88 more
29,WNS,BPO,3.6,10k-50k Employees,Mumbai +30 more
30,Mahindra & Mahindra,Automobile,4.1,1 Lakh+ Employees,78 years old
31,IndusInd Bank,Banking,3.7,10k-50k Employees,29 years old
32,DXC Technology,IT Services & Consulting,3.9,10k-50k Employees,6 years old
33,Infosys BPM,Analytics & KPO,3.9,10k-50k Employees,Bangalore/Bengaluru +54 more
34,iEnergizer,BPO,4.4,10k-50k Employees,Noida +19 more
35,IDFC FIRST Bank,Banking,4.0,10k-50k Employees,5 years old
36,Conneqt Business Solutions,Analytics & KPO,3.7,10k-50k Employees,Mumbai +185 more
37,Hinduja Global Solutions,Software Product,4.0,10k-50k Employees,23 years old
38,Bajaj Finserv,Insurance,4.0,10k-50k Employees,16 years old
39,HSBC Group,Banking,4.1,10k-50k Employees,21 years old
40,LTIMindtree,IT Services & Consulting,3.8,10k-50k Employees,24 years old
41,Startek,BPO,3.2,10k-50k Employees,6 years old
42,Mphasis,IT Services & Consulting,3.6,10k-50k Employees,25 years old
43,Ericsson,10k-50k Employees,4.3,Forbes Global 2000,Stockholm +139 more
44,PwC,Accounting & Auditing,3.7,10k-50k Employees,143 years old
45,Maruti Suzuki,Automobile,4.2,10k-50k Employees,42 years old
46,HDFC Life,Insurance,4.1,10k-50k Employees,1 years old
47,Yes Bank,Banking,3.9,10k-50k Employees,19 years old
48,Dr. Reddy's,Pharma,4.2,10k-50k Employees,39 years old
49,Asian Paints,Chemicals,4.1,10k-50k Employees,81 years old
50,Cipla Pharmaceutical,Pharma,4.1,10k-50k Employees,88 years old
51,Sutherland Global Services,IT Services & Consulting,3.8,10k-50k Employees,Pittsford +45 more
52,NTT DATA,IT Services & Consulting,4.0,10k-50k Employees,Chiyoda City +45 more
53,ICICI Prudential Life Insurance,Insurance,4.1,10k-50k Employees,23 years old
54,Jana Small Finance Bank,Banking,3.8,10k-50k Employees,17 years old
55,EXL Service,Analytics & KPO,3.8,10k-50k Employees,New York City +37 more
56,KPMG,Management Consulting,3.7,10k-50k Employees,Bengaluru/Bangalore +70 more
57,HCL Group,IT Services & Consulting,3.7,1 Lakh+ Employees,Chennai +65 more
58,Udaan,Internet,4.0,1k-5k Employees,7 years old
59,UltraTech Cement,Building Material,4.2,10k-50k Employees,40 years old
60,Lupin,Pharma,4.1,10k-50k Employees,55 years old
61,Paytm,FinTech,3.5,5k-10k Employees,13 years old
62,Bandhan Bank,Banking,3.8,50k-1 Lakh Employees,22 years old
63,Bajaj Finance,NBFC,4.1,10k-50k Employees,Pune +698 more
64,L&T Infotech,IT Services & Consulting,3.8,10k-50k Employees,27 years old
65,ITC,FMCG,3.9,10k-50k Employees,48 years old
66,AU Small Finance Bank,Financial Services,4.2,10k-50k Employees,27 years old
67,Indian Army,Defence & Aerospace,4.7,1 Lakh+ Employees,128 years old
68,JP Morgan Chase,10k-50k Employees,4.2,Forbes Global 2000,New York +29 more
69,FIS,IT Services & Consulting,4.0,5k-10k Employees,Jacksonville +36 more
70,Hindustan Unilever,FMCG,4.2,10k-50k Employees,151 years old
71,Wells Fargo,Banking,4.2,10k-50k Employees,171 years old
72,Delhivery,Logistics,4.0,10k-50k Employees,12 years old
73,IIFL Finance,Financial Services,3.8,10k-50k Employees,28 years old
74,Amazon Development Centre India,Hyderabad/Secunderabad +49 more,4.2,,
75,Quess,Recruitment,3.9,1 Lakh+ Employees,16 years old
76,Home Credit Finance,Financial Services,4.1,5k-10k Employees,Gurugram +108 more
77,TATA Steel,Iron & Steel,4.1,1 Lakh+ Employees,116 years old
78,Sun Pharmaceutical Industries,Pharma,4.1,10k-50k Employees,40 years old
79,Hexaware Technologies,IT Services & Consulting,3.7,10k-50k Employees,33 years old
80,Ujjivan Small Finance Bank,Banking,4.1,10k-50k Employees,6 years old
81,OPPO,Consumer Electronics & Appliances,3.9,10k-50k Employees,19 years old
82,JSW Steel,Iron & Steel,3.9,10k-50k Employees,41 years old
83,Shapoorji Pallonji Group,Engineering & Construction,4.2,5k-10k Employees,158 years old
84,Shriram Transport Finance,NBFC,4.1,10k-50k Employees,44 years old
85,Max Life Insurance,Insurance,4.1,10k-50k Employees,Gurgaon/Gurugram +347 more
86,Ashok Leyland,Automobile,4.1,10k-50k Employees,75 years old
87,Muthoot Finance,NBFC,3.6,10k-50k Employees,84 years old
88,Oracle,Software Product,3.9,50k-1 Lakh Employees,46 years old
89,Aurobindo Pharma,Pharma,4.0,10k-50k Employees,37 years old
90,Vivo,Consumer Electronics & Appliances,4.0,5k-10k Employees,14 years old
91,eClerx,IT Services & Consulting,3.5,10k-50k Employees,23 years old
92,Apollo Hospitals,Healthcare,4.1,50k-1 Lakh Employees,40 years old
93,Siemens,Power,4.2,5k-10k Employees,176 years old
94,Zydus Cadila,Pharma,4.2,10k-50k Employees,71 years old
95,Tata Projects,Engineering & Construction,4.2,10k-50k Employees,44 years old
96,Capgemini Technology Services India Limited,Bengaluru/Bangalore +31 more,4.0,,
97,JLL,Real Estate,4.2,5k-10k Employees,26 years old
98,First Source,BPO,3.8,10k-50k Employees,22 years old
99,Hero MotoCorp,Automobile,4.2,5k-10k Employees,39 years old
100,JustDial,Internet,3.6,10k-50k Employees,27 years old
101,Hewlett-Packard Enterprise,Emerging Technologies,4.3,10k-50k Employees,8 years old
